srcIp,dstIp,srcPort,dstPort,protocol,packetCount,flow_index,duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle
172.18.161.20,172.18.160.174,60621,5001,TCP,26,0,596044032,596044032,512596992,194816,2048,101724928,110338048,49670336.0,42716416.0,0.043620938394027906,16.44677150294829,2048,83346176,23841761.28,25803770.33938533,0,25941.333333333332,355840,85789.28104167245,1010176,35033946.35294118,83346176,24141871.336726777
172.18.161.20,172.18.160.174,60622,5002,TCP,27,1,518938880,518938880,464762880,161792,1024,103244032,108103936,39918375.384615384,38730240.0,0.052029248608236864,18.99452976042188,1024,57229056,19959187.692307692,22554348.580065556,0,31886.222222222223,275968,76962.4244967523,3881984,30492054.588235293,57229056,21314565.163402464
172.18.161.20,172.18.160.174,60623,5003,TCP,25,2,574718976,574718976,518251776,217088,768,136574976,136601088,52247179.63636363,43187648.0,0.04349952071184091,16.963073096789483,768,85734912,23946624.0,26302858.86097485,0,29515.29411764706,435968,105728.57199674351,2200064,35888576.0,85734912,24585864.93928002
172.18.161.20,172.18.160.174,60624,5004,TCP,26,3,562284800,562284800,510806784,143104,1024,103369984,107652096,46857066.666666664,42567232.0,0.04623991258522371,17.434225502805695,1024,56784896,22491392.0,23544750.471625615,0,19982.222222222223,276992,66500.0546550466,2459904,33054418.82352941,56784896,21472281.971129376
172.18.161.20,172.18.160.174,60625,5005,TCP,25,4,326770176,326770176,286488064,123904,1024,56869888,56713984,29706379.636363637,23874005.333333332,0.07650637003053792,29.834424057108567,1024,50722816,13615424.0,19746896.466670465,0,39904.0,280064,94319.74242543287,2194176,21742114.133333333,50722816,21258305.47963858
172.18.161.20,172.18.160.174,60626,5006,TCP,26,5,306748928,306748928,298776832,187904,1024,56793856,65816064,25562410.666666668,24898069.333333332,0.08475987241265925,31.957731894665336,1024,50588160,12269957.12,17525771.214505326,0,20679.11111111111,304896,72313.51938110219,1583872,18022159.05882353,50588160,18731387.019666404
172.18.161.20,172.18.160.174,60627,5007,TCP,26,6,311172864,311172864,303493120,168960,1024,57177088,63150080,25931072.0,25291093.333333332,0.0835548436511482,31.503389704315605,1024,50526208,12446914.56,17632770.80600924,0,23779.555555555555,300032,74832.04166682974,2032896,18279107.76470588,50526208,18799756.89113923
172.18.161.20,172.18.160.174,60628,5008,TCP,25,7,289345024,289345024,282287104,115968,1024,55160064,55593984,26304093.09090909,23523925.333333332,0.08640203883374886,33.69333906360871,1024,50841088,12056042.666666666,18796124.391828537,0,25705.41176470588,280064,75010.56972108898,1021952,18056752.0,50841088,20651587.668094583
172.18.161.20,172.18.160.174,60629,5009,TCP,24,8,308785920,308785920,301871104,211200,1024,65022976,66191872,30878592.0,25155925.333333332,0.07772375113476677,31.39715696881516,1024,50973952,13425474.782608695,19820665.256720886,0,50464.0,441088,137314.76246735698,1058048,20531899.733333334,50973952,21489009.858493287
172.18.161.20,172.18.160.174,60630,5010,TCP,26,9,324053760,324053760,318906880,136960,1024,68923904,67635200,27004480.0,26575573.333333332,0.0802336007457528,30.251153388869795,1024,50577920,12962150.4,18003576.136182133,0,36818.82352941176,301056,86517.50162556367,3710976,20214240.0,50577920,19046569.636835963
